# OS: Linux 3.14.23-100.fc19.x86_64 amd64
# JVM: Oracle Corporation 1.7.0_71
# CPU: null
# Available processors: 4
# Maximum memory: 14999 MB
# Date: 2015-05-18 15:35:55+0200
# VM Arguments: -XX:CompileThreshold=100 -Xms15000M 

HierarchizeOptimizedThreadsNoUnroll
Grid: 6 6 6 6 6 [30]
Threads	Mean	Min	Max	StdDev
1	7536.5	7531.0	7544.0	4.249182927993988
2	5274.0	5269.0	5280.0	2.9249881291307074
3	4720.5	4717.0	4726.0	2.41522945769824
4	4674.0	4671.0	4677.0	1.8257418583505538
5	4726.0	4713.0	4756.0	14.62114146630754
6	4702.5	4666.0	4725.0	21.61917872836267
7	4672.0	4657.0	4686.0	9.122621455602673
8	4666.0	4659.0	4735.0	23.626726862225798
