# OS: Linux 3.14.23-100.fc19.x86_64 amd64
# JVM: Oracle Corporation 1.7.0_71
# CPU: null
# Available processors: 4
# Maximum memory: 14999 MB
# Date: 2015-05-18 15:04:33+0200
# VM Arguments: -XX:CompileThreshold=100 -Xms15000M 

HierarchizeOptimizedThreads
Grid: 6 6 6 6 6 [30]
Threads	Mean	Min	Max	StdDev
1	7484.5	7480.0	7491.0	3.719318934070233
2	5141.0	5119.0	5167.0	14.851112939963642
3	4659.0	4655.0	4674.0	5.385164807134504
4	4640.0	4636.0	4719.0	27.09448488366426
5	4692.5	4659.0	4723.0	19.155794017592807
6	4667.0	4642.0	4695.0	19.22960680247461
7	4652.5	4636.0	4676.0	11.452801695072985
8	4642.0	4639.0	4671.0	14.985177861992682
