# OS: Linux 3.14.23-100.fc19.x86_64 amd64
# JVM: Oracle Corporation 1.7.0_71
# CPU: null
# Available processors: 4
# Maximum memory: 14999 MB
# Date: 2015-05-27 18:35:51+0200
# VM Arguments: -XX:CompileThreshold=100 -Xms15000M 

HierarchizeRecursiveThreads
Grid: 12 7 5 3 3 [30]
RecLevel	Mean	Min	Max	StdDev
1	152063.0	151932.0	152165.0	75.49172140042907
2	152045.0	151942.0	152279.0	95.95774533037387
3	152003.5	151922.0	152114.0	75.56343913119183
4	152085.0	151889.0	152142.0	87.04022058795577
5	152070.0	151954.0	152153.0	70.00158728359109
6	152136.5	152047.0	152246.0	61.82636977859852
7	152177.0	152096.0	152305.0	78.13236631938564
8	152282.5	152215.0	152481.0	94.39897598314649
