# OS: Linux 3.14.23-100.fc19.x86_64 amd64
# JVM: Oracle Corporation 1.7.0_71
# CPU: null
# Available processors: 4
# Maximum memory: 14999 MB
# Date: 2015-05-19 03:35:07+0200
# VM Arguments: -XX:CompileThreshold=100 -Xms15000M 

HierarchizeUnoptimizedTasks
Grid: 12 7 5 3 3 [30]
Tasks	Mean	Min	Max	StdDev
1	19620.0	19615.0	19660.0	15.975675955095678
2	9948.0	9933.0	9959.0	10.466878978738388
3	6822.0	6810.0	6831.0	7.637626158259733
4	5413.0	5402.0	5421.0	7.094598884597588
5	5798.0	5666.0	5847.0	68.46247958634797
6	5592.5	5548.0	5710.0	60.356809428965384
7	5553.5	5507.0	5624.0	44.1619494336219
8	5447.0	5421.0	5467.0	14.278966660402597
