# OS: Linux 3.14.23-100.fc19.x86_64 amd64
# JVM: Oracle Corporation 1.7.0_71
# CPU: null
# Available processors: 4
# Maximum memory: 14999 MB
# Date: 2015-05-19 04:05:35+0200
# VM Arguments: -XX:CompileThreshold=100 -Xms15000M 

HierarchizeOptimizedThreads
Grid: 12 7 5 3 3 [30]
Threads	Mean	Min	Max	StdDev
1	5338.0	5331.0	5341.0	3.972125095937662
2	4045.0	4041.0	4047.0	1.8257418583505538
3	3767.0	3765.0	3768.0	1.1547005383792515
4	3758.5	3750.0	3953.0	65.05937459138555
5	3773.5	3752.0	3825.0	22.182325296405594
6	3754.5	3742.0	3784.0	14.477952586989332
7	3737.5	3729.0	3762.0	9.87983355685262
8	3738.5	3725.0	3754.0	10.88577052853862
