# OS: Linux 3.14.23-100.fc19.x86_64 amd64
# JVM: Oracle Corporation 1.7.0_71
# CPU: null
# Available processors: 4
# Maximum memory: 14999 MB
# Date: 2015-05-19 05:25:09+0200
# VM Arguments: -XX:CompileThreshold=100 -Xms15000M 

HierarchizeAlignedOptimizedThreadsOnce
Grid: 12 7 5 3 3 [30]
Threads	Mean	Min	Max	StdDev
1	5405.0	5402.0	5412.0	3.1622776601683795
2	4171.0	4168.0	4173.0	1.7320508075688772
3	3895.0	3894.0	3900.0	2.23606797749979
4	3876.5	3871.0	3878.0	2.3213980461973533
5	3901.0	3873.0	3933.0	18.651779778050376
6	3869.5	3849.0	3902.0	14.546859149352864
7	3853.0	3841.0	3872.0	8.781293248212995
8	3934.0	3927.0	3946.0	5.887840577551898
