# OS: Linux 3.14.23-100.fc19.x86_64 amd64
# JVM: Oracle Corporation 1.7.0_71
# CPU: null
# Available processors: 4
# Maximum memory: 14999 MB
# Date: 2015-05-18 17:20:55+0200
# VM Arguments: -XX:CompileThreshold=100 -Xms15000M 

HierarchizeAlignedOptimizedTasks
Grid: 6 6 6 6 6 [30]
Threads	Mean	Min	Max	StdDev
1	7343.5	7337.0	7348.0	4.352521619066865
2	5365.0	5352.0	5370.0	5.066228051190222
3	4854.0	4850.0	4861.0	3.9440531887330774
4	4844.0	4838.0	4923.0	26.566478460228367
5	4891.5	4862.0	4929.0	21.81869738448094
6	4869.5	4845.0	4895.0	15.035144015125214
7	4860.5	4855.0	4868.0	5.1478150704935
8	4842.5	4837.0	4849.0	3.5978388574871505
