# OS: Linux 3.14.23-100.fc19.x86_64 amd64
# JVM: Oracle Corporation 1.7.0_71
# CPU: null
# Available processors: 4
# Maximum memory: 14999 MB
# Date: 2015-05-19 03:04:54+0200
# VM Arguments: -XX:CompileThreshold=100 -Xms15000M 

HierarchizeUnoptimizedThreadsOnce
Grid: 12 7 5 3 3 [30]
Threads	Mean	Min	Max	StdDev
1	19366.0	19359.0	19381.0	6.082762530298219
2	9812.5	9799.0	9835.0	10.906165432655257
3	6734.0	6724.0	7014.0	93.49509791071046
4	5352.5	5348.0	5365.0	5.421151989096864
5	5674.0	5479.0	5768.0	114.92026221109428
6	5546.5	5462.0	5593.0	39.98680337867037
7	5477.0	5441.0	5507.0	20.275875100994064
8	5370.5	5348.0	5402.0	16.015617378046965
