# OS: Linux 3.14.23-100.fc19.x86_64 amd64
# JVM: Oracle Corporation 1.7.0_71
# CPU: null
# Available processors: 4
# Maximum memory: 14999 MB
# Date: 2015-05-18 13:47:39+0200
# VM Arguments: -XX:CompileThreshold=100 -Xms15000M 

HierarchizeUnoptimizedThreadsOnce
Grid: 6 6 6 6 6 [30]
Threads	Mean	Min	Max	StdDev
1	24378.5	24349.0	24457.0	56.812068357974006
2	12618.0	12573.0	12632.0	21.186998109427606
3	8731.0	8719.0	8737.0	6.437735971942655
4	6970.0	6959.0	7549.0	201.98734833867414
5	7242.5	7133.0	7376.0	76.19164433628315
6	7194.5	7092.0	7385.0	96.98482126371917
7	7130.0	7075.0	7179.0	33.43152205130163
8	6980.5	6966.0	7029.0	20.00138884066693
