# OS: Linux 3.14.23-100.fc19.x86_64 amd64
# JVM: Oracle Corporation 1.7.0_71
# CPU: null
# Available processors: 4
# Maximum memory: 14999 MB
# Date: 2015-05-19 02:34:23+0200
# VM Arguments: -XX:CompileThreshold=100 -Xms15000M 

HierarchizeUnoptimizedThreads
Grid: 12 7 5 3 3 [30]
Threads	Mean	Min	Max	StdDev
1	19495.5	19473.0	19500.0	14.789260367652679
2	9870.0	9856.0	9875.0	5.333333333333333
3	6765.0	6759.0	6775.0	6.298147875897061
4	5383.5	5370.0	5466.0	44.5926002830066
5	5688.0	5506.0	5817.0	86.48892029233185
6	5596.0	5524.0	5647.0	41.75856532231175
7	5521.5	5474.0	5553.0	26.80899517367673
8	5405.5	5385.0	5493.0	37.971480525959656
