# OS: Linux 3.14.23-100.fc19.x86_64 amd64
# JVM: Oracle Corporation 1.7.0_71
# CPU: null
# Available processors: 4
# Maximum memory: 14999 MB
# Date: 2015-05-18 16:07:21+0200
# VM Arguments: -XX:CompileThreshold=100 -Xms15000M 

HierarchizeAlignedOptimizedThreads
Grid: 6 6 6 6 6 [30]
Threads	Mean	Min	Max	StdDev
1	7370.0	7363.0	7371.0	3.366501646120693
2	5380.0	5378.0	5385.0	2.3333333333333335
3	4867.0	4858.0	4888.0	7.859884081701064
4	4838.5	4835.0	4846.0	3.6285901761795403
5	4887.5	4847.0	4915.0	20.844663585675832
6	4875.0	4850.0	4907.0	19.087517736293876
7	4858.5	4845.0	4870.0	8.263036837493694
8	4846.5	4842.0	4865.0	6.802777210652851
