# OS: Linux 3.14.23-100.fc19.x86_64 amd64
# JVM: Oracle Corporation 1.7.0_71
# CPU: null
# Available processors: 4
# Maximum memory: 14999 MB
# Date: 2015-05-19 04:55:43+0200
# VM Arguments: -XX:CompileThreshold=100 -Xms15000M 

HierarchizeAlignedOptimizedThreads
Grid: 12 7 5 3 3 [30]
Threads	Mean	Min	Max	StdDev
1	5390.0	5387.0	5398.0	3.958114029012639
2	4157.0	4154.0	4165.0	3.2998316455372216
3	3896.0	3884.0	3902.0	5.270462766947299
4	3877.0	3876.0	3900.0	8.04155872120988
5	3893.0	3871.0	3923.0	16.964014199999298
6	3879.5	3855.0	3894.0	11.423659658795863
7	3852.5	3842.0	3860.0	5.54276304943863
8	3937.5	3930.0	3953.0	8.514693182963201
