# OS: Linux 3.14.23-100.fc19.x86_64 amd64
# JVM: Oracle Corporation 1.7.0_71
# CPU: null
# Available processors: 4
# Maximum memory: 14999 MB
# Date: 2015-05-18 16:44:17+0200
# VM Arguments: -XX:CompileThreshold=100 -Xms15000M 

HierarchizeAlignedOptimizedThreadsOnce
Grid: 6 6 6 6 6 [30]
Threads	Mean	Min	Max	StdDev
1	7366.0	7360.0	7367.0	2.9249881291307074
2	5377.0	5374.0	5383.0	2.4720661623652207
3	4859.5	4856.0	4863.0	2.6770630673681683
4	4841.0	4837.0	4879.0	12.836579675979804
5	4873.0	4858.0	4922.0	20.396078054371138
6	4866.0	4850.0	4910.0	18.375708603116962
7	4856.5	4847.0	4878.0	8.720983634634086
8	4846.0	4837.0	4870.0	12.970050972229146
