# OS: Linux 3.14.23-100.fc19.x86_64 amd64
# JVM: Oracle Corporation 1.7.0_71
# CPU: null
# Available processors: 4
# Maximum memory: 14375 MB
# Date: 2015-05-18 13:09:24+0200
# VM Arguments: -XX:CompileThreshold=100 -Xms15000M 

HierarchizeUnoptimizedThreads
Grid: 6 6 6 6 6 [30]
Threads	Mean	Min	Max	StdDev
1	24493.0	24385.0	24495.0	56.3086731034098
2	12659.5	12616.0	12681.0	23.908389973210472
3	8756.5	8742.0	8773.0	8.657045942147034
4	6997.5	6985.0	7081.0	28.85692676329588
5	7265.0	7105.0	7418.0	95.63762625429155
6	7274.0	7142.0	7361.0	68.23895922092859
7	7147.5	7055.0	7196.0	40.26095434095477
8	7020.0	7001.0	7094.0	30.283842409957014
