# OS: Linux 3.14.23-100.fc19.x86_64 amd64
# JVM: Oracle Corporation 1.7.0_71
# CPU: null
# Available processors: 4
# Maximum memory: 14999 MB
# Date: 2015-05-19 05:54:20+0200
# VM Arguments: -XX:CompileThreshold=100 -Xms15000M 

HierarchizeAlignedOptimizedTasks
Grid: 12 7 5 3 3 [30]
Threads	Mean	Min	Max	StdDev
1	5403.5	5400.0	5412.0	4.1163630117428225
2	4169.5	4168.0	4173.0	1.6499158227686108
3	3896.0	3893.0	3903.0	2.6874192494328497
4	3876.5	3873.0	3886.0	3.7490739597339973
5	3893.5	3882.0	3941.0	25.600564229893234
6	3875.0	3861.0	3899.0	12.12435565298214
7	3848.5	3837.0	3865.0	7.291547618075786
8	3932.5	3926.0	3939.0	3.7490739597339973
